,pageview_desktop_views,year,month,pageview_mobile_views,pageview_all_views,pagecount_desktop_views,pagecount_mobile_views,pagecount_all_views
0,3179131148.0,2015,07,3288755294.0,6467886442.0,5229226022.0,3254472695.0,8483698717.0
1,3192663889.0,2015,08,3302333038.0,6494996927.0,5035534449.0,3268487582.0,8304022031.0
2,3073981649.0,2015,09,3170203333.0,6244184982.0,5409631355.0,3172429827.0,8582061182.0
3,3173975355.0,2015,10,3268499132.0,6442474487.0,5535704471.0,3246082505.0,8781786976.0
4,3142247145.0,2015,11,3236601070.0,6378848215.0,5296956116.0,3218234512.0,8515190628.0
5,3276836351.0,2015,12,3376275307.0,6653111658.0,5264446173.0,3387411863.0,8651858036.0
6,3611404079.0,2016,01,3717836846.0,7329240925.0,5569632502.0,3739628742.0,9309261244.0
7,3242448142.0,2016,02,3334862272.0,6577310414.0,5347709361.0,3333231392.0,8680940753.0
8,3288785117.0,2016,03,3386684191.0,6675469308.0,5407676056.0,3419853636.0,8827529692.0
9,3177044999.0,2016,04,3258764002.0,6435809001.0,5572235399.0,3301385124.0,8873620523.0
10,3296294723.0,2016,05,3395033236.0,6691327959.0,5330532334.0,3418435805.0,8748968139.0
11,3257882479.0,2016,06,3354790945.0,6612673424.0,4975092447.0,3372618063.0,8347710510.0
12,3395175122.0,2016,07,3496573762.0,6891748884.0,5363966439.0,3500661121.0,8864627560.0
13,3418646794.0,2016,08,3515819303.0,6934466097.0,,,
14,3310247842.0,2016,09,3393285781.0,6703533623.0,,,
15,3442109005.0,2016,10,3509283891.0,6951392896.0,,,
16,3507421156.0,2016,11,3591044925.0,7098466081.0,,,
17,3647567822.0,2016,12,3776543855.0,7424111677.0,,,
18,4020148351.0,2017,01,4231961542.0,8252109893.0,,,
19,3522702265.0,2017,02,3711761399.0,7234463664.0,,,
20,3719395296.0,2017,03,3903493989.0,7622889285.0,,,
21,3524571150.0,2017,04,3639623119.0,7164194269.0,,,
22,3567882051.0,2017,05,3686687720.0,7254569771.0,,,
23,3404097346.0,2017,06,3519383193.0,6923480539.0,,,
24,3600941034.0,2017,07,3725059253.0,7326000287.0,,,
25,3502234506.0,2017,08,3621406302.0,7123640808.0,,,
26,3416989181.0,2017,09,3531604369.0,6948593550.0,,,
27,3557540057.0,2017,10,3673120542.0,7230660599.0,,,
28,3557058773.0,2017,11,3670012061.0,7227070834.0,,,
29,3709128989.0,2017,12,3830136304.0,7539265293.0,,,
30,4129514528.0,2018,01,4259282371.0,8388796899.0,,,
31,3613097618.0,2018,02,3725680728.0,7338778346.0,,,
32,3928081419.0,2018,03,4049874257.0,7977955676.0,,,
33,3807903935.0,2018,04,3927398111.0,7735302046.0,,,
34,3961293568.0,2018,05,4089188522.0,8050482090.0,,,
35,3852929134.0,2018,06,3977766741.0,7830695875.0,,,
36,4131876847.0,2018,07,4266113752.0,8397990599.0,,,
37,4055921056.0,2018,08,4187362161.0,8243283217.0,,,
38,3853821210.0,2018,09,3977120244.0,7830941454.0,,,
39,3948395290.0,2018,10,4073789753.0,8022185043.0,,,
40,3909638746.0,2018,11,4033380040.0,7943018786.0,,,
41,4154561156.0,2018,12,4289054166.0,8443615322.0,,,
42,4455807733.0,2019,01,4597597181.0,9053404914.0,,,
